time,open,high,low,close,tick_volume,spread,real_volume
2024-09-18 04:30:00,1.11265,1.11281,1.11253,1.1128,357,1,0
2024-09-18 04:45:00,1.11281,1.11292,1.11267,1.11279,312,1,0
2024-09-18 05:00:00,1.11279,1.11288,1.11254,1.11259,270,1,0
2024-09-18 05:15:00,1.1126,1.11265,1.11249,1.11252,257,1,0
2024-09-18 05:30:00,1.11252,1.11282,1.1125099999999999,1.1126,259,1,0
2024-09-18 05:45:00,1.11262,1.11282,1.11256,1.11281,259,1,0
2024-09-18 06:00:00,1.11282,1.11287,1.11261,1.11263,368,1,0
2024-09-18 06:15:00,1.11264,1.11279,1.11254,1.11273,177,1,0
2024-09-18 06:30:00,1.11274,1.1128,1.1126800000000001,1.1126800000000001,224,1,0
2024-09-18 06:45:00,1.11267,1.11274,1.11257,1.11262,184,1,0
2024-09-18 07:00:00,1.11264,1.11265,1.11252,1.11259,198,1,0
2024-09-18 07:15:00,1.11259,1.11259,1.11233,1.11239,158,1,0
2024-09-18 07:30:00,1.11239,1.11244,1.11227,1.11234,118,1,0
2024-09-18 07:45:00,1.11234,1.11234,1.112,1.11201,213,1,0
2024-09-18 08:00:00,1.112,1.11214,1.11193,1.11199,240,1,0
2024-09-18 08:15:00,1.11198,1.11205,1.11191,1.11192,158,1,0
2024-09-18 08:30:00,1.11192,1.11197,1.11181,1.11191,164,1,0
2024-09-18 08:45:00,1.11191,1.11217,1.11177,1.1120700000000001,368,1,0
2024-09-18 09:00:00,1.11205,1.11262,1.112,1.1124,831,1,0
2024-09-18 09:15:00,1.1124,1.11247,1.11201,1.11208,710,1,0
2024-09-18 09:30:00,1.11208,1.11234,1.11177,1.11177,671,1,0
2024-09-18 09:45:00,1.11178,1.11219,1.11153,1.11188,851,1,0
2024-09-18 10:00:00,1.11187,1.1123,1.11175,1.112,953,1,0
2024-09-18 10:15:00,1.11199,1.11276,1.11197,1.11238,1070,1,0
2024-09-18 10:30:00,1.11239,1.11265,1.11223,1.11253,818,1,0
2024-09-18 10:45:00,1.11254,1.11313,1.11239,1.11313,872,1,0
2024-09-18 11:00:00,1.11313,1.11324,1.11288,1.11302,1059,1,0
2024-09-18 11:15:00,1.11303,1.11332,1.11279,1.11314,770,1,0
2024-09-18 11:30:00,1.11315,1.11334,1.11301,1.1131,840,1,0
2024-09-18 11:45:00,1.1131,1.1133,1.11291,1.11298,807,1,0
2024-09-18 12:00:00,1.11297,1.11313,1.11269,1.11311,708,1,0
2024-09-18 12:15:00,1.1131199999999999,1.11367,1.11307,1.11334,726,1,0
2024-09-18 12:30:00,1.11333,1.11379,1.1132900000000001,1.11366,691,1,0
2024-09-18 12:45:00,1.11367,1.114,1.11366,1.11382,627,1,0
2024-09-18 13:00:00,1.11381,1.11388,1.11343,1.11357,560,1,0
2024-09-18 13:15:00,1.11357,1.1138,1.11343,1.1138,391,1,0
2024-09-18 13:30:00,1.1138,1.1138,1.11339,1.1135,537,1,0
2024-09-18 13:45:00,1.11351,1.11354,1.11297,1.113,537,1,0
2024-09-18 14:00:00,1.11301,1.11303,1.11248,1.11265,646,1,0
2024-09-18 14:15:00,1.11265,1.11273,1.11239,1.11261,597,1,0
2024-09-18 14:30:00,1.1126,1.1126,1.11224,1.1125099999999999,513,1,0
2024-09-18 14:45:00,1.1125099999999999,1.11265,1.11228,1.11245,735,1,0
2024-09-18 15:00:00,1.11244,1.11262,1.11237,1.11253,715,1,0
2024-09-18 15:15:00,1.11254,1.11287,1.11224,1.11234,803,1,0
2024-09-18 15:30:00,1.11234,1.11234,1.11179,1.11198,747,1,0
2024-09-18 15:45:00,1.11199,1.1124,1.11182,1.11223,839,1,0
2024-09-18 16:00:00,1.11224,1.1134,1.11224,1.11323,1093,1,0
2024-09-18 16:15:00,1.11322,1.11398,1.11317,1.11394,1046,1,0
2024-09-18 16:30:00,1.11393,1.11396,1.11357,1.11388,881,1,0
2024-09-18 16:45:00,1.11387,1.11391,1.11305,1.11354,1181,1,0
2024-09-18 17:00:00,1.11355,1.11363,1.11282,1.11291,1041,1,0
2024-09-18 17:15:00,1.11292,1.11302,1.11159,1.11159,1240,1,0
2024-09-18 17:30:00,1.11159,1.11177,1.11082,1.1114,1468,1,0
2024-09-18 17:45:00,1.1114,1.11184,1.1112,1.11181,1274,1,0
2024-09-18 18:00:00,1.11182,1.11221,1.11167,1.11175,1160,1,0
2024-09-18 18:15:00,1.11174,1.11219,1.11151,1.1120700000000001,661,1,0
2024-09-18 18:30:00,1.11208,1.11212,1.11119,1.11147,957,1,0
2024-09-18 18:45:00,1.11149,1.11166,1.11121,1.11159,832,1,0
2024-09-18 19:00:00,1.11158,1.11235,1.11155,1.11234,578,1,0
2024-09-18 19:15:00,1.11232,1.11262,1.11221,1.11258,561,1,0
2024-09-18 19:30:00,1.11258,1.11261,1.11223,1.11223,608,1,0
2024-09-18 19:45:00,1.11222,1.1126,1.1121,1.11243,562,1,0
2024-09-18 20:00:00,1.11242,1.11265,1.11201,1.11204,586,1,0
2024-09-18 20:15:00,1.11205,1.11217,1.11172,1.11208,585,1,0
2024-09-18 20:30:00,1.11208,1.11299,1.11208,1.11297,887,1,0
2024-09-18 20:45:00,1.11298,1.11306,1.11205,1.11267,1134,1,0
2024-09-18 21:00:00,1.11256,1.11782,1.11247,1.11618,5230,1,0
2024-09-18 21:15:00,1.11619,1.1179000000000001,1.11613,1.11715,4140,1,0
2024-09-18 21:30:00,1.11715,1.11892,1.11581,1.11603,4701,1,0
2024-09-18 21:45:00,1.11599,1.1171,1.11466,1.11491,5259,1,0
2024-09-18 22:00:00,1.1149,1.1149,1.11285,1.11466,4600,1,0
2024-09-18 22:15:00,1.11465,1.11478,1.11199,1.11322,4388,1,0
2024-09-18 22:30:00,1.11321,1.11327,1.11144,1.11144,3267,1,0
2024-09-18 22:45:00,1.1114600000000001,1.1114600000000001,1.10967,1.11059,2612,1,0
2024-09-18 23:00:00,1.11056,1.11148,1.11045,1.11108,707,1,0
2024-09-18 23:15:00,1.11105,1.1118999999999999,1.11086,1.11184,601,1,0
2024-09-18 23:30:00,1.11185,1.11205,1.11163,1.11179,499,1,0
2024-09-18 23:45:00,1.11178,1.11201,1.11173,1.11181,805,1,0
2024-09-19 00:00:00,1.11132,1.11161,1.11118,1.11153,105,35,0
2024-09-19 00:15:00,1.11153,1.11175,1.11152,1.11155,109,9,0
2024-09-19 00:30:00,1.11157,1.11164,1.11154,1.11157,64,11,0
2024-09-19 00:45:00,1.11157,1.11169,1.11151,1.11162,73,11,0
2024-09-19 01:00:00,1.11162,1.11209,1.1115,1.11197,381,1,0
2024-09-19 01:15:00,1.11197,1.11233,1.11185,1.11226,320,1,0
2024-09-19 01:30:00,1.11227,1.1124,1.1122,1.11229,235,1,0
2024-09-19 01:45:00,1.1123,1.11234,1.11198,1.11217,279,1,0
2024-09-19 02:00:00,1.1122,1.1122,1.1116,1.11162,242,1,0
2024-09-19 02:15:00,1.11161,1.11163,1.1112,1.11131,296,1,0
2024-09-19 02:30:00,1.11131,1.11151,1.11112,1.11142,384,1,0
2024-09-19 02:45:00,1.11142,1.11149,1.11112,1.1114,475,1,0
2024-09-19 03:00:00,1.11141,1.11166,1.11075,1.11104,1111,1,0
2024-09-19 03:15:00,1.11104,1.11118,1.11065,1.11079,946,1,0
2024-09-19 03:30:00,1.11078,1.11087,1.11,1.11002,887,1,0
2024-09-19 03:45:00,1.11002,1.11007,1.10788,1.10817,1467,1,0
2024-09-19 04:00:00,1.10816,1.1085,1.10797,1.10828,972,1,0
2024-09-19 04:15:00,1.10826,1.10858,1.10757,1.10761,828,1,0
2024-09-19 04:30:00,1.10762,1.1078000000000001,1.10686,1.10757,1048,1,0
2024-09-19 04:45:00,1.10757,1.10846,1.10754,1.10832,865,1,0
2024-09-19 05:00:00,1.10835,1.10937,1.10835,1.10932,905,1,0
2024-09-19 05:15:00,1.10931,1.10998,1.10918,1.10998,893,1,0
2024-09-19 05:30:00,1.10998,1.11007,1.10959,1.10971,792,1,0
2024-09-19 05:45:00,1.1097,1.11037,1.10959,1.11018,682,1,0
2024-09-19 06:00:00,1.11019,1.11057,1.10995,1.11047,691,1,0
2024-09-19 06:15:00,1.11048,1.11122,1.11041,1.11121,591,1,0
2024-09-19 06:30:00,1.11126,1.1118,1.11112,1.11166,651,1,0
2024-09-19 06:45:00,1.11165,1.11194,1.11147,1.11186,631,1,0
2024-09-19 07:00:00,1.11186,1.11201,1.11167,1.11178,639,1,0
2024-09-19 07:15:00,1.11177,1.11188,1.1115,1.11154,430,1,0
2024-09-19 07:30:00,1.11154,1.112,1.11154,1.1117,421,1,0
2024-09-19 07:45:00,1.11168,1.11214,1.11151,1.11202,396,1,0
2024-09-19 08:00:00,1.11202,1.1126,1.11201,1.11259,541,1,0
2024-09-19 08:15:00,1.1126,1.11299,1.11254,1.11288,534,1,0
2024-09-19 08:30:00,1.11292,1.11308,1.1128,1.11289,661,1,0
2024-09-19 08:45:00,1.11288,1.11313,1.11257,1.1131,737,1,0
2024-09-19 09:00:00,1.1131,1.11349,1.11298,1.11317,1297,1,0
2024-09-19 09:15:00,1.11319,1.1135,1.11288,1.11316,1065,1,0
2024-09-19 09:30:00,1.11316,1.11369,1.11301,1.11359,974,1,0
2024-09-19 09:45:00,1.11359,1.11454,1.11347,1.11454,1490,1,0
2024-09-19 10:00:00,1.11456,1.11531,1.1143,1.11493,1829,1,0
2024-09-19 10:15:00,1.11493,1.11497,1.11402,1.11445,1442,1,0
2024-09-19 10:30:00,1.11445,1.11474,1.11402,1.11465,1624,1,0
2024-09-19 10:45:00,1.11466,1.11531,1.11447,1.11459,1363,1,0
2024-09-19 11:00:00,1.11458,1.11511,1.11449,1.1149499999999999,1386,1,0
2024-09-19 11:15:00,1.11494,1.11581,1.11478,1.11575,1327,1,0
2024-09-19 11:30:00,1.11576,1.11692,1.1157,1.11689,1120,1,0
2024-09-19 11:45:00,1.11687,1.11688,1.11612,1.11628,1026,1,0
2024-09-19 12:00:00,1.11627,1.1173899999999999,1.11623,1.11736,1264,1,0
2024-09-19 12:15:00,1.11735,1.1176,1.11704,1.11707,975,1,0
2024-09-19 12:30:00,1.11705,1.1175,1.11692,1.1173,1067,1,0
2024-09-19 12:45:00,1.11727,1.11789,1.11727,1.11779,818,1,0
2024-09-19 13:00:00,1.11778,1.11788,1.11686,1.11734,1146,1,0
